,ED,ER,Nt
1190,114.67190203525752,117.89000502057024,48
1200,104.2959851199048,179.21530046609405,54
1210,69.38396995266885,92.34367679042407,55
1220,140.19354131651198,133.49747584327633,55
1230,68.09386015932978,108.28074284285685,57
1240,43.521180836884014,81.66592857097203,59
1250,78.4366807763945,96.38236786215202,60
1260,54.76325285615167,78.05121680377488,61
1270,27.34081516569131,114.70949497189577,68
1280,89.81881254680775,59.360229318233905,65
1290,42.12469981462709,62.95184201235679,66
1300,12.064865138356254,81.0565354874343,71
1310,88.71716856306011,35.29482809037654,68
1320,37.15593703041304,38.465457789225184,67
1330,26.433785751309188,85.45828679059923,71
1340,57.727581102117256,31.994989407299727,70
1350,47.786436145786865,52.60921461600083,69
1360,15.803286635935365,41.2689015701726,71
1370,68.35808021749108,57.200863234367716,71
1380,52.95922366634841,24.046847996203724,68
1390,0.0,66.50337840457723,73
1400,68.35808021749108,30.76707748305853,71
1410,43.10502824779178,34.67734711157755,70
1420,9.854195418556628,55.87287928920341,73
1430,41.28980298641545,41.39757659843235,73
1440,28.412377147924417,24.046847996203724,72
